IP,Port,Protocol,Status,Service
192.168.1.60,646,TCP,Free,
192.168.1.60,616,TCP,Free,
192.168.1.60,604,TCP,Free,
192.168.1.60,629,TCP,Free,
192.168.1.60,618,TCP,Free,
192.168.1.60,625,TCP,Free,
192.168.1.60,640,TCP,Free,
192.168.1.60,638,TCP,Free,
192.168.1.60,620,TCP,Free,
192.168.1.60,649,TCP,Free,
192.168.1.60,619,TCP,Free,
192.168.1.60,637,TCP,Free,
192.168.1.60,607,TCP,Free,
192.168.1.60,621,TCP,Free,
192.168.1.60,622,TCP,Free,
192.168.1.60,642,TCP,Free,
192.168.1.60,606,TCP,Free,
192.168.1.60,628,TCP,Free,
192.168.1.60,630,TCP,Free,
192.168.1.60,605,TCP,Free,
192.168.1.60,626,TCP,Free,
192.168.1.60,633,TCP,Free,
192.168.1.60,610,TCP,Free,
192.168.1.60,631,TCP,Free,
192.168.1.60,611,TCP,Free,
192.168.1.60,648,TCP,Free,
192.168.1.60,609,TCP,Free,
192.168.1.60,650,TCP,Free,
192.168.1.60,645,TCP,Free,
192.168.1.60,641,TCP,Free,
192.168.1.60,644,TCP,Free,
192.168.1.60,623,TCP,Free,
192.168.1.60,643,TCP,Free,
192.168.1.60,617,TCP,Free,
192.168.1.60,612,TCP,Free,
192.168.1.60,608,TCP,Free,
192.168.1.60,635,TCP,Free,
192.168.1.60,647,TCP,Free,
192.168.1.60,603,TCP,Free,
192.168.1.60,634,TCP,Free,
192.168.1.60,602,TCP,Free,
192.168.1.60,639,TCP,Free,
192.168.1.60,613,TCP,Free,
192.168.1.60,632,TCP,Free,
192.168.1.60,651,TCP,Free,
192.168.1.60,674,TCP,Free,
192.168.1.60,672,TCP,Free,
192.168.1.60,667,TCP,Free,
192.168.1.60,669,TCP,Free,
192.168.1.60,656,TCP,Free,
192.168.1.60,658,TCP,Free,
192.168.1.60,699,TCP,Free,
192.168.1.60,684,TCP,Free,
192.168.1.60,691,TCP,Free,
192.168.1.60,653,TCP,Free,
192.168.1.60,668,TCP,Free,
192.168.1.60,694,TCP,Free,
192.168.1.60,652,TCP,Free,
192.168.1.60,657,TCP,Free,
192.168.1.60,681,TCP,Free,
192.168.1.60,692,TCP,Free,
192.168.1.60,677,TCP,Free,
192.168.1.60,686,TCP,Free,
192.168.1.60,682,TCP,Free,
192.168.1.60,675,TCP,Free,
192.168.1.60,685,TCP,Free,
192.168.1.60,695,TCP,Free,
192.168.1.60,696,TCP,Free,
192.168.1.60,697,TCP,Free,
192.168.1.60,680,TCP,Free,
192.168.1.60,660,TCP,Free,
192.168.1.60,690,TCP,Free,
192.168.1.60,679,TCP,Free,
192.168.1.60,661,TCP,Free,
192.168.1.60,687,TCP,Free,
192.168.1.60,673,TCP,Free,
192.168.1.60,664,TCP,Free,
192.168.1.60,683,TCP,Free,
192.168.1.60,665,TCP,Free,
192.168.1.60,700,TCP,Free,
192.168.1.60,676,TCP,Free,
192.168.1.60,688,TCP,Free,
192.168.1.60,689,TCP,Free,
192.168.1.60,662,TCP,Free,
192.168.1.60,654,TCP,Free,
192.168.1.60,670,TCP,Free,
192.168.1.60,671,TCP,Free,
192.168.1.60,663,TCP,Free,
192.168.1.60,666,TCP,Free,
192.168.1.60,659,TCP,Free,
192.168.1.60,698,TCP,Free,
192.168.1.60,693,TCP,Free,
192.168.1.60,678,TCP,Free,
192.168.1.60,655,TCP,Free,
192.168.1.60,701,TCP,Free,
192.168.1.60,718,TCP,Free,
192.168.1.60,726,TCP,Free,
192.168.1.60,727,TCP,Free,
192.168.1.60,710,TCP,Free,
192.168.1.60,721,TCP,Free,
192.168.1.60,740,TCP,Free,
192.168.1.60,731,TCP,Free,
192.168.1.60,732,TCP,Free,
192.168.1.60,703,TCP,Free,
192.168.1.60,730,TCP,Free,
192.168.1.60,743,TCP,Free,
192.168.1.60,725,TCP,Free,
192.168.1.60,708,TCP,Free,
192.168.1.60,748,TCP,Free,
192.168.1.60,737,TCP,Free,
192.168.1.60,747,TCP,Free,
192.168.1.60,735,TCP,Free,
192.168.1.60,745,TCP,Free,
192.168.1.60,738,TCP,Free,
192.168.1.60,741,TCP,Free,
192.168.1.60,733,TCP,Free,
192.168.1.60,720,TCP,Free,
192.168.1.60,729,TCP,Free,
192.168.1.60,716,TCP,Free,
